Event Name,Event Date(s),Location,Website URL,Description,Key Speakers,Agenda/Schedule,Registration Details,Pricing,Categories,Audience Type
Dreamforce 2024 - Salesforce.com US,N/A,N/A,https://www.salesforce.com/dreamforce/,"Join us at Dreamforce 2024, the world's largest event where you'll learn how to transform your company into an AI Enterprise. Save $1,000 with early bird passes. Register now!",,,N/A,N/A,,N/A
SaaStr Annual 2024 | Where The Cloud Meets,N/A,N/A,https://www.saastrannual.com/,"SaaStr Annual l Sept 6-8. Hear your favorite SaaS founders tell their 
lessons learned so you can scale faster. And meet 15,000 fellow SaaS 
leaders.",,,N/A,N/A,,N/A
"Web Summit - Where the tech world meets | November 11-14, 2024",N/A,N/A,https://websummit.com/,Web Summit brings together the people and companies redefining the global tech industry. Web Summit will return to Lisbon this November. Join us.,,,N/A,N/A,,N/A
B2B Marketing Expo 2024 | Marketing Event | Business Event,N/A,N/A,https://www.b2bmarketingexpo.co.uk/,"Marketing Event. B2B Marketing Expo 2024, 27-28 November 2024, ExCeL London, is Europe’s leading Marketing Event showcasing the latest developments at the forefront of the ever-evolving world of marketing. Discover the latest technology and strategies through seminars, panel debates and live demos.",,,N/A,N/A,,N/A
CES - The Most Powerful Tech Event in the World,N/A,N/A,https://www.ces.tech/,"CES® is the most powerful tech event in the world — the proving ground for breakthrough technologies and global innovators. This is where brands get business done, meet new partners and where the industry’s sharpest minds take the stage to unveil their latest releases and boldest breakthroughs. Owned and produced by the Consumer Technology Association (CTA)®, CES is the only trade show that showcases the entire tech landscape at one event.",,,N/A,N/A,,N/A

Event Name,Event Date(s),Location,Website URL,Description,Key Speakers,Agenda/Schedule,Registration Details,Pricing,Categories,Audience Type
MWC - The Largest And Most Influential Connectivity… | MWC Barcelona,N/A,N/A,https://www.mwcbarcelona.com/,"Join the mobile technology ecosystem at the largest and most influential connectivity event in the world, hosted by GSMA in Barcelona, Spain, 2024",,,N/A,N/A,,N/A
AI & Big Data Expo World Series | World-Leading Conferences,N/A,N/A,https://www.ai-expo.net/,AI & Big Data Expo World Series; showcase of next-generation technologies and strategies from the world of Artificial Intelligence & Big Data,,,N/A,N/A,,N/A
"Home Page | INBOUND 2024 - HubSpot's Marketing & Sales Conference | Sept 18-20, 2024",N/A,N/A,https://www.inbound.com/,"INBOUND is HubSpot’s conference where business, marketing, and sales leaders connect and network with a diverse and inclusive community in Boston.",,,N/A,N/A,,N/A
Money20/20 | Fintech Events and Conferences 2024,N/A,N/A,https://www.money2020.com/,Money20/20 is the largest global fintech event enabling payments and financial services innovation for connected commerce. Buy your pass today!,,,N/A,N/A,,N/A
NRF 2025: Retail’s Big Show,N/A,N/A,https://www.nrfbigshow.com/,"NRF 2025 brings together more than 6,200 brands from around the globe to New York City for three days of learning, collaboration and discovery.",,,N/A,N/A,,N/A
